en,es,pt
"Wrinkles, Fine Lines & Age Spots, Stretch Marks","Arrugas, líneas de expresión y manchas de la edad, estrías","Rugas, linhas finas e manchas de idade, estrias"
"Winter blahs, Inauthenticity & Pretense, Lack of Perspective","Depresión por el invierno, inautenticidad y pretensión, falta de perspectiva","Reclamações, Inautenticidade e Pretensão, Falta de Perspectiva"
"Brain Fog, Lack of Concentration & Fatigue","Niebla cerebral, falta de concentración y fatiga","Névoa mental, falta de concentração e fadiga"
"Diabetes, Imbalanced Insulin & Glucose Levels","Diabetes, niveles de insulina y glucosa desequilibrados","Diabetes, níveis de insulina e glicose desequilibrados"
"Bronchitis & Asthma, Flu","Bronquitis y asma, gripe","Bronquite e Asma, Gripe"
"Constipation & Intestinal Cramping, Ulcers","Estreñimiento o calambres intestinales, úlceras","Constipação e Cólicas Intestinais, Úlceras"
"Bacterial, Fungal & Viral Infections, Parasites","Infecciones causadas por bacterias, hongos y virales, parásitos","Infecções bacterianas, fúngicas e virais, parasitas"
Sore Throat & Swollen Glands,Dolor de garganta y glándulas inflamadas,Dor de garganta e glândulas inchadas
"High Blood Pressure & Cholesterol, Poor Circulation","Hipertensión y colesterol, circulación deficiente","Pressão arterial alta e colesterol, má circulação"
"Overweight, Excessive Appetite, Detoxification","Sobre peso, apetito excesivo, desintoxicación","Excesso de peso, apetite excessivo, desintoxicação"
Kidney & Gallstones,Cálculos renales y biliares,Rim e cálculos biliares
pH Issues & Lymphatic Cleansing,Problemas del pH y limpieza linfática,Questões de Ph e Limpeza Linfática
Edema & Water Retention,Edema y retención de líquidos,Edema e Retenção de Água
Heartburn & Reflux,Acidez y reflujo,Azia e Refluxo
Congestion & Mucus,Congestión y moco,Congestionamento e Muco
Runny Nose & Allergies,Goteo nasal y alergias,Nariz escorrendo e alergias
"Gout, Rheumatism & Arthritis","Gota, reumatismo y artritis","Gota, reumatismo e artrite"
Liver & Kidney Detox,Desintoxicación hepática y renal,Desintoxicação do Fígado e do Rim
Degreaser & Furniture Polish,Desengrasante y lustrador de muebles,Desengordurante e polimento de móveis
Varicose Veins,Venas varicosas,Varizes
Concentration,Concentración,Concentração
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Bacterial Infections & Wounds,Infecciones causadas por bacterias y heridas,Infecções Bacterianas e Feridas
Spastic Cough & Congestion,Tos espástica y congestión,Tosse espástica e congestão
Abdominal & Muscular Cramps/spasms,Calambres o espasmos abdominales y musculares,Cãibras/espasmos abdominais e musculares
Convulsions & Seizures,Convulsiones y ataques,Espasmos e Convulsões
Fearful & Anxious thinking,Pensamiento temeroso y ansioso,Pensamento Temeroso e Ansioso
"Sudden Anger, Shock & Hysteria","Ira, shock e histeria repentina","Raiva repentina, choque e histeria"
Weakened Nerves & Insomnia,Nervios debilitados e insomnio,Nervos enfraquecidos e insônia
Body Odor,Mal olor corporal,Odor corporal
Dandruff & Oily Hair,Caspa y cabello grasoso,Caspa e cabelo oleoso
Palpitations & Hypertension,Palpitaciones e hipertensión,Palpitações e hipertensão
Nervousness & Excessive Sweating,Nerviosismo y sudor excesivo,Nervosismo e transpiração excessiva
Convalescence & Loneliness,Convalecencia y soledad,Convalescença e Solidão
"Dry, Cracked Skin & Acne",Piel seca y agrietada y acné,"Pele seca, rachada e acne"
Nausea & Vomiting,Náuseas y vómitos,Náusea e Vômito
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Chills & Flu,Escalofríos y gripe,Calafrios e Gripe
Whooping Cough & Bronchitis,Tos convulsa y bronquitis,Coqueluche e Bronquite
Nervous & Mental Fatigue,Fatiga nerviosa y mental,Fadiga Nervosa e Mental
Germs & Bugs,Gérmenes e insectos,Germes e Insetos
Muscle & Joint Pain,Dolor muscular y articular,Dor Muscular e nas Articulações
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Acne & Oily Skin, Wounds","Acné y piel grasa, heridas","Acne e pele oleosa, feridas"
"Bloating, Gas, Hiccups & Indigestion, Colic, Leaky Gut","Hinchazón, flatulencia, hipo e indigestión, cólicos y síndrome de intestino permeable","Inchaço, gases, soluços e indigestão, cólicas, intestino preguiçoso"
"Congestion, Severe & Spastic Coughs","Congestión, tos severa y espástica","Congestão, tosse severa e espástica"
"Wrinkles, Age Spots, Scars, Stretch Marks","Arrugas, manchas de la edad, cicatrices y estrías","Rugas, linhas finas e manchas de idade, cicatrizes, estrias"
Low Libido,Libido baja,Libido baixa
"Bacterial Infections, Scars, Wounds","Infecciones causadas por bacterias, cicatrices, heridas","Infecções Bacterianas, Cicatrizes, Feridas"
Grief & Depression,Duelo y depresión,Luto e Depressão
Childbirth & Baby Blues,Parto y depresión posparto,Parto e Depressão pós parto
Irregular Ovulation & Menstuation,Ovulación y menstruación irregulares,Ovulação e Menstruação Irregulares
"Seizures, Brain Issues & Nerve Issue","Convulsiones, problemas cerebrales y problemas nerviosos","Convulsões, problemas cerebrais e problemas nervosos"
"Wrinkles, Facial Capillaries & Redness","Arrugas, capilares faciales y enrojecimiento","Rugas, Capilares Faciais e Vermelhidão"
"Semen Production, Impotency, & Prostate Issues","Problemas de producción de semen, impotencia y próstata","Produção de Sêmen, Impotência e Problemas de Próstata"
Perfume,Perfume,Perfume
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Flavoring & Natural Food Preservative,Saborizante y conservador de alimentos naturales,Aromatizante e conservante natural de alimentos
Odor & Surface Cleaning,Limpiador de olores y superficies,Odores e Limpeza de Superfícies
Perfume,Perfume,Perfume
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Macular Degeneration & Cataracts,Degeneración macular y cataratas,Distrofia Muscular e Catarata
Wrinkles & Age Spots,Arrugas y manchas de la edad,Rugas e manchas de idade
Odor & Spring Cleaning,Limpiador de olores y resortes,Odores e Limpeza de Primavera
Cooking & Flavoring,Para cocinar y saborizante,Cozinhar e Aromatizar
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Bacterial, Fungal & Viral Infections","Infecciones causadas por bacterias, hongos y virales","Infecções bacterianas, fúngicas e virais"
"Nervous Afflictions, Tension, Hyperactivity in children","Aflicciones nerviosas, tensión, hiperactividad en niños","Aflições Nervosas, Tensão, Hiperatividade em Crianças"
"Increase Appetite, Ulcers, Upset Stomach & Esophageal Spasms","Aumenta el apetito, para úlceras, malestar estomacal y espasmos esofágicos","Aumentar o apetite, úlceras, dor de estômago e espasmos esofágicos"
"Liver, Urinary & Lymphatic Toxicity, Edema & Poor Bile Flow","Toxicidad renal, urinaria y linfática, edema y flujo biliar deficiente","Toxicidade hepática, urinária e linfática, edema e baixo fluxo biliar"
"Depression & Mental Fatigue, Convulsions","Depresión y fatiga mental, convulsiones","Depressão e fadiga mental, convulsões"
"Fear, Fatigue, Irritability, Tantrums & Hysteria","Miedo, fatiga, irritabilidad, berrinches e histeria","Medo, fadiga, irritabilidade, birras e histeria"
Lack of Sleep & Restlessness,Falta de sueño e inquietud,Falta de sono e inquietação
"Gout, Arthritis, Rheumatism","Gota, artritis, reumatismo","Gota, Artrite, Reumatismo"
Varicose Veins & Poor Circulationy,Venas varicosas y mala circulación,Varizes e má circulação
Odor & Surface Cleaning,Limpiador de olores y superficies,Odores e Limpeza de Superfícies
Flavoring & Protect food from bacteria,Saborizante y protector de alimentos contra bacterias,Aromatizar e proteger os alimentos de bactérias
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Cancer,Cáncer,Câncer
Sinusitis & Asthma,Sinusitis y asma,Sinusite e asma
Muscle & Joint Pain,Dolor muscular y articular,Dor Muscular e nas Articulações
Muscle Fatigue & Regeneration,Fatiga muscular y regeneración,Fadiga e Regeneração Muscular
Bursitis & Rheumatism,Bursitis y reumatismo,Bursite e Reumatismo
Airborne Pathogens,Patógenos de transmision aérea,Patógenos transportados pelo ar
Circulation issues & Bruising,Problemas de circulación y moretones,Questões de Circulação e Contusão
Stress & Foggy Mind,Estrés y mente nublada,Estresse e nevoeiro mental
Bronchitis & Congestion,Bronquitis y congestión,Bronquite e congestão
Colds & Flu,Gripes y resfriados,Resfriados e Gripes
Urinary Infection & Edema,Infección urinaria y edema,Infecção Urinária e Edema
Furniture Polish,Lustrador de muebles,Polimento de móveis
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Insomnia & Stress,Insomnio y estrés,Insônia e Estresse
Heartburn & Sluggish Bowels,Acidez e intestinos lentos,Azia e intestinos lentos
Scurvy & Colds,Escorbuto y resfriados,Escorbuto e resfriados
Menopause,Menopausia,Menopausa
"Depression, Fear, Anxiety & Irritability","Depresión, miedo, ansiedad e irritabilidad","Depressão, Medo, Ansiedade e Irritabilidade"
"Lack of Energy, Creativity & Productivity","Falta de energía, creatividad y productividad","Falta de Energia, Criatividade e Produtividade"
Concentration,Concentración,Concentração
Detox & Regeneration,Desintoxicación y regeneración,Desintoxicação e Regeneração
Digestive Upset due to Anxiety,Malestar digestivo causado por ansiedad,Distúrbio digestivo devido a ansiedade
Cooking,Para cocinar,Cozinha
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Gout & Rheumatism,Gota y reumatismo,Gota e Reumatismo
Teeth Whitening,Blanqueamiento dental,Clareamento dos dentes
Warming & Circulation to Extremities,Calentador y circulación a las extremidades,Aquecimento e Circulação para Extremidades
Arthritis & Joints,Artritis y articulaciones,Artrite e articulações
Neuralgia & Cramps,Neuralgia y calambres,Neuralgia e cãibras
Bone Spurs & Pain,Espolones óseos y dolor,Esporões ósseos e dor
Cartilage Injury & Bruising,Lesión del cartílago y moretones,Lesão de Cartilagem e Contusão
Rotator Cuff Issues & Frozen Shoulder,Problemas con el manguito rotador y hombro congelado,Problemas no manguito rotador e ombro congelado
Dandruff,Caspa,Caspa
Dermatitis,Dermatitis,Dermatite
Bladder Infection & Kidney Stones,Infección de la vejiga y cálculos renales,Infecção da bexiga e pedras nos rins
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Bleeding, Hemorrhaging, Internal Wounds & Scarring","Sangrado, hemorragia, heridas internas y cicatrices","Sangramento, Hemorragia, Ferimentos Internos e Cicatrizes"
"Varicose Veins & Hemorrhoids, Sagging & Aging Skin","Venas varicosas y hemorroides, piel flácida y envejecimiento","Varizes e Hemorroidas, Flacidez e Envelhecimento da Pele"
Irregular or absent Menstruation & Early Menopause,Menstruación irregular o ausente y menopausia precoz,Menstruação irregular ou ausente e menopausa precoce
"Depression, Anxiety & Fatigue","Depresión, ansiedad y fatiga","Depressão, Ansiedade e Fadiga"
"Pain & Inflammation, Arthritis, Rheumatism","Dolor e inflamación, artritis, reumatismo","Dor e Inflamação, Artrite, Reumatismo"
"Fever, Viral Infection & Allergies","Fiebre, infección viral y alergias","Febre, Infecção Viral e Alergias"
Low Perspiration & Poor Circulation,Poca sudoración y mala circulación,Baixa Transpiração e Má Circulação
"Low Libido, Impotence, Infertility & Hormone Imbalance","Libido baja, impotencia, infertilidad y desequilibrio hormonal","Baixa Libido, Impotência, Infertilidade e Desequilíbrio Hormonal"
"Equilibrium & High Blood Pressure,",Equilibrio e hipertensión,Equilíbrio e pressão arterial alta
Irregular Heartbeat & Palpitations,Latidos irregulares y palpitaciones,Batimentos cardíacos irregulares e palpitações
"Adrenal, Mental, or Heart Fatigue/ Loss of will or Apathy","Fatiga suprarrenal, mental o cardíaca o pérdida de voluntad o apatía","Fadiga Adrenal, Mental ou Cardíaca/ Perda de Vontade ou Apatia"
"Anxiety, Frustration, Stress & Fear","Ansiedad, frustración, estrés o miedo","Ansiedade, Frustração, Estresse e Medo"
Hair Loss,Pérdida de cabello,Perda de cabelo
Colic & Stomach Ache,Cólico y dolor de estómago,Cólica e Dor Estomacal
Oily Skin,Piel grasa,Pele oleosa
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Cancer, Free Radical Damage, Cellular Ovarian Health","Cáncer, daño de radicales libres, salud celular de los ovarios","Câncer, danos de radicais livres, saúde celular dos ovários"
"Acne, Eczema, Hair Loss & Scalp Issues","Acné, eccema, pérdida de cabello y problemas del cuero cabelludo","Problemas de acne, eczema, perda de cabelo e couro cabeludo"
"Sluggish Liver, Stomach & Intestines","Hígado, estómago e intestinos perezosos","Fígado, estômago e intestinos lentos"
Toothache & Loosened Teeth,Dolor de muelas y ferulización de dientes,Dor de dente e dentes soltos
"Indigestion, Belching, Bloating, & Ulcers","Indigestión, eructos, hinchazón y úlceras","Indigestão, arrotos, inchaço e úlceras"
Muscle & Respiratory Spasms,Espasmos musculares y respiratorios,Espasmos musculares e respiratórios
Metabolic Disorders & Blood Sugar Imbalance,Trastornos metabólicos y desequilibrio de azúcar en la sangre,Distúrbios metabólicos e desequilíbrio do açúcar no sangue
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Adrenal Fatigue,Fatiga suprarrenal,Fadiga adrenal
Earache,Ácaros del oído,Dor de ouvido
Loss of sense of smell,Pérdida del sentido del olfato,Perda do sentido do olfato
Migraines & Dizziness,Migrañas y mareos,Enxaquecas e Tontura
Mental Fatigue & Focus,Fatiga mental y enfoque,Fadiga mental e foco
Nausea & Cramping,Náuseas y cólicos,Náusea e Cólicas
Gout & Rheumatism,Gota y reumatismo,Gota e Reumatismo
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Muscle Spasms & Inflammation,Espasmos musculares e inflamación,Espasmos musculares e Inflamação
"Bug, Snake & Spider Bites","Picaduras de insectos, víboras y arañas","Picadas de insetos, cobras e aranhas"
Gas & Nausea,Flatulencia y náuseas,Gases e Náusea
High Blood Sugar & Diabetes,Hiperglucemia y diabetes,Açúcar no Sangue Elevado e Diabetes
Itchy Skin & Rashes,Picazón en la piel y sarpullidos,Comichão na pele e erupções cutâneas
Joint Pain,Dolor articular,Dor nas articulações
Neuropathy,Neuropatía,Neuropatia periférica
No Appetite,Falta de apetito,Falta de apetite
Food Poisoning & Diarrhea,Intoxicación alimentaria y diarrea,Intoxicação Alimentar e Diarreia
Body Odor,Mal olor corporal,Odor corporal
Low Energy & Nervous Exhaustion,Energía baja y agotamiento nervioso,Baixa Energia e Exaustão Nervosa
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Nausea, Colic & Flatulence","Náuseas, cólicos y flatulencias","Náusea, cólica e flatulência"
Menstrual Issues & PMS,Problemas menstruales y síndrome premenstrual,Problemas Menstruais e TPM
Menopause & Premenopause Issues,Problemas de menopausia y menopausia precoz,Problemas da Menopausa e pré-menopausa
Cramps & Spasms,Cólicos y espasmos,Cãibras e espasmos
Breast Feeding or Low Milk Supply,Lactancia o suministro de leche escaso,Aleitamento Materno ou Baixa Produção de Leite
Edema & Fluid Retention,Edema y retención de líquidos,Edema e Retenção de Líquido
Cough & Congestion,Tos y congestión,Tosse e Congestão
Intestinal Parasites & Sluggish Bowels,Parásitos intestinales e intestinos perezosos,Parasitas Intestinais e Intestino Lento
Blood Sugar Imbalance,Desequilibrio de azúcar en la sangre,Desequilíbrio do açúcar no sangue
Hunger pains,Dolores por hambre,Dores de fome
Stroke,ACV,Acidente vascular cerebral
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Achy Joints & Muscle Pain,Articulaciones adoloridas y dolor muscular,Dor nas Articulações e Dor Muscular
"Dandruff, Scalp Issues","Caspa, problemas del cuero cabelludo","Caspa, problemas do couro cabeludo"
"Athlete's Foot, Toe Fungus or Fingernail Issues","Pie de atleta, hongos en los pies o problemas en las uñas","Pé de atleta, fungo do dedo do pé ou problemas na unha"
"Irritated & Chaffed Skin, Acne, Rashes","Piel irritada, acné, sarpullidos","Pele Irritada e Rachada, Acne, Erupções Cutâneas"
"Intestinal, Respiratory, Urinary Tract Bacterial Infection","Infecciones intestinales, respiratorios, del tracto urinario causadas por bacterias","Infecção bacteriana intestinal, respiratória e do trato urinário"
"Cold, Fever, Cough, Sinus Congestion, Asthma","Refriado, fiebre, tos, congestión sinusal, asma","Frio, febre, tosse, congestão sinusal, asma"
Muscles Spasms & Contractions,Espasmos y contracciones musculares,Espasmos musculares e contrações
"Indigestion, Spicy food issues, & Toxicity","Indigestión, problemas con la comida picante y toxicidad","Indigestão, problemas com comida picante e toxicidade"
"Seasonal Allergies & Sensitivity to Dust, Pets & Dander","Alergias estacionales y sensibilidad al polvo, mascotas y caspa","Alergias Sazonais e Sensibilidade à Poeira, Animais de Estimação e Pelos"
"Bites, Stings, & Burns","Mordeduras, picaduras y quemaduras","Mordidas, picadas e queimaduras"
"Ear & Fungal Infections, Herpes","Infecciones de oído y causadas por hongos, herpes","Infecções de ouvido e fúngicas, herpes"
"Damaged Skin & Scars, Wounds, Radiation Treatment Side Effects","Piel dañada y cicatrices, efectos secundarios causados por el tratamiento de radiación","Pele lesionada e cicatrizes, feridas, efeitos colaterais da radioterapia"
"Mental Stress, Anxiety, & High Blood Pressure","Estrés mental, ansiedad e hipertensión","Estresse mental, ansiedade e pressão arterial alta"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Lymphatic & Candida Cleansing, Cancer","Limpiador linfático y de candidiasis, cáncer","Limpeza linfática e de cândida, câncer"
"Crohn‰Ûªs disease, Nausea & Vomiting, Gas & Bloating, Poor Appetite","Enfermedad de Crohn, náuseas y vómitos, flatulencia e hinchazón, falta de apetito","Doença de Crohn, náusea e vômitos, gases e inchaço, falta de apetite"
Pain Medicine Addiction,Adicción a los analgésicos,Toxicodependência
"Gout, Rheumatism & Arthritis","Gota, reumatismo y artritis","Gota, reumatismo e artrite"
"PMS, Cramps, Menstrual Pain, Breast Health","Síndrome premenstrual, cólicos, dolor menstrual, salud de los senos","TPM, cólicas, dor menstrual, saúde da mama"
Respiratory Issues & Bronchitis,Problemas respiratorios y bronquitis,Problemas respiratórios e bronquite
Depression & Anxiety,Depresión y ansiedad,Depressão e Ansiedade
"Infection & Fever, Promote Perspiration","Infeccion y fiebre, promueve la sudoracion","Infecção e febre, promove a transpiração"
"Muscle Tension, Cramps, & Pain","Tensión muscular, calambres y dolor","Tensão muscular, cólicas e dor"
Fatigue & Lack of Alertness,Fatiga y falta de agudeza mental,Fadiga e falta de atenção
Insect Repellent,Repelente de insectos,Repelente de insetos
Protection from Negativity,Protección contra la negatividad,Proteção contra negatividade
"Aphrodisiac, Euphoric, Warming & Invigorating","Afrodisíaco, eufórico, cálido y vigorizante","Afrodisíaco, eufórico, reconfortante e revigorante"
"Metabolic Syndrome & Obesity, Blood Sugar, Cholesterol","Síndrome metabólico y obesidad, azúcar en la sangre, colesterol","Síndrome metabólica e obesidade, glicemia, colesterol"
Poor Circulation,Mala circulación,Má circulação
Flavoring,Saborizante,Aromatizante
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Liver, Gallbladder, Pancreas & Kidney Issues","Problemas hepáticos, biliares, pancreáticos y renales","Problemas no fígado, vesícula biliar, pâncreas e rins"
Blood issues & Bleeding,Problemas de la sangre y sangrado,Problemas de sangue e sangramento
Cuts & Wounds,Cortes y heridas,Cortes e feridas
PMS & Hormone Balancing,Síndrome premenstrual y equilibrio hormonal,TPM e equilíbrio hormonal
Low Libido,Libido baja,Libido baixa
Dry or Oily Hair & Skin,Cabello y piel resecos o grasosos,Pele e cabelos secos ou oleosos
Moisturizer,Humectante,Hidratante
Body Odor,Mal olor corporal,Odor corporal
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Viruses & Bacterial Infections,Infecciones causadas por virus y bacterias,Vírus e infecções bacterianas
Strep Throat & Tonsillitis,Faringitis estreptocócica y amigdalitis,Garganta inflamada e amigdalite
Staph Infection & MRSA,Infección por estafilococo y SARM,Infecção por estafilococos e MRSA
Intestinal Worms & Parasites,Lombrices y parásitos intestinales,Vermes intestinais e parasitas
"Warts, Calluses & Canker Sores","Verrugas, callos y aftas","Verrugas, calos e aftas"
Pneumonia & Tuberculosis,Neumonía y tuberculosis,Pneumonia e tuberculose
Boost Progesterone,Fortalece la progesterona,Aumento de progesterona
Urinary Infection,Infección urinaria,Infecção urinária
"Athlete‰Ûªs Foot, Ringworm & Candida","Pie de atleta, tiña y Candidiasis","Pé de atleta, micose e cândida"
Carpal Tunnel & Rheumatism,Túnel carpiano y reumatismo,Síndrome do túnel do carpo e reumatismo
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Dry Skin & Scalp,Piel y cuero cabelludo resecos,Couro cabeludo e pele secos
Calming & Relaxing,Tranquilizante y relajante,Calmante e relaxante
Scars & Blemishes,Cicatrices e imperfecciones,Cicatrizes e manchas
Wound Care & Skin Infections,Para el cuidado de heridas e infecciones de la piel,Cuidado com feridas e infecções da pele
Spasms & Cramps,Espasmos y calambres,Espasmos e cólicas
Low Testosterone & Impotence,Testosterona baja e impotencia,Baixa testosterona e impotência
Sinus Infection,Infección sinusal,Sinusite
Cancer & Tumors,Cáncer y tumores,Câncer e Tumores
Alzheimer‰Ûªs disease,Enfermedad de Alzheimer,Mal de Alzheimer
Insomnia & Restlessness,Insomnio e inquietud,Insônia e inquietação
Meditation & Yoga,Meditación y yoga,Meditação e Yoga
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Pain & Inflammation, Rheumatism, Arthritis & Gout, Tired & Achy Muscles","Dolor e inflamación, reumatismo, artritis y gota, músculos cansados y adoloridos","Dor e inflamação, reumatismo, artrite e gota, músculos cansados e doloridos"
"Constricted Breathing, Congestion, Cold, Flu, Fever & Sore Throat","Respiración obstruida, congestión, resfriado, gripe, fiebre y dolor de garganta","Respiração constritiva, congestão, resfriado, gripe, febre e dor de garganta"
Broken Bones & Osteoporosis,Huesos rotos y osteoporosis,Ossos quebrados e osteoporose
Candida & Urinary Infections,Candidiasis e infecciones urinarias,Cândida e infeções urinárias
"Poor Circulation, Hemorrhoids & Low Blood Pressure","Mala circulación, hemorroides y presión arterial baja","Má circulação, hemorroidas e pressão arterial baixa"
"Sluggish Digestion, Metabolism & Liver Function","Digestión, metabolismo y función hepática lentos","Digestão, metabolismo e função hepática lentos"
Body Odor,Mal olor corporal,Odor corporal
Cancer & Auto-Immune Disorders,Cáncer y trastornos autoinmunes,Câncer e distúrbios autoimunes
"Burns, Wounds, Eczema, Dermatitis","Quemaduras, heridas, eccema y dermatitis","Queimaduras, feridas, eczema e dermatite"
Hormone Balancing & Prostatitis,Equilibrio hormonal y prostatitis,Equilíbrio hormonal e prostatite
"Anxiety, Brain Fog & Exhaustion","Ansiedad, niebla cerebral y agotamiento","Ansiedade, confusão mental e exaustão"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Cancer & Tumors, Autoimmune Disorders","Cáncer y tumores, trastornos autoinmunes","Câncer e tumores, distúrbios autoimunes"
"Joint Pain & Swelling, Arthritis, Gout, Rheumatism","Dolor e inflamación articular, artritis, gota, reumatismo","Dor nas articulações e inchaço, artrite, gota e reumatismo"
"Fungal, Bacterial or Viral Infections","Infecciones causadas por hongos, bacterias o virales","Infecções fúngicas, bacterianas e virais"
"Alzheimers, Stroke, Poor Blood Supply","Alzheimer, ACV, suministro de sangre deficiente","Alzheimer, derrame, produção insuficiente de sangue"
"Blood & Lymph Purifier, Liver & Gallbladder Detox","Limpiador sanguíneo y linfático, desintoxicante hepático y biliar","Purificador de sangue e linfa, desintoxicação do fígado e da vesícula biliar"
Intestinal Worms & Parasites,Lombrices y parásitos intestinales,Vermes intestinais e parasitas
"Acne, Eczema & Psoriasis","Acné, eccema y psoriasis","Acne, eczema e psoríase"
"Depression & Discouragement, Tension & Anxiety","Depresión y desaliento, tensión y ansiedad","Depressão e desânimo, tensão e ansiedade"
"Ulcers, Gas & Bloating, Indigestion, Compromised Intestinal Flora","Úlceras, flatulencia e hinchazón, indigestión, flora intestinal comprometida","Úlcera, gases e inchaço, indigestão, flora intestinal comprometida"
"Poor Circulation, Diabetes & Metabolism, High Cholesterol","Mala circulación, diabetes y metabolismo, colesterol alto","Má circulação, diabetes e metabolismo, colesterol alto"
"Cough, Respiratory Issues & Bronchitis","Tos, problemas respiratorios y bronquitis","Tosse, problemas respiratórios e bronquite"
Sore Muscles & Menstrual Cramps,Músculos adoloridos y cólicos menstruales,Músculos doloridos e cólicas menstruais
Cavities & Oral Health,Caries y salud oral,Cáries e saúde oral
"Insect Repellent, Bites & Stings","Repelente de insectos, mordeduras y picaduras","Repelente, picadas e ferroadas de insetos"
Cooking & Natural Food Preservative,Para cocinar y conservador de alimentos naturales,Cozinha e conservante de alimentos naturais
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Cancer & Tumors,Cáncer y tumores,Câncer e Tumores
Blood Pressure & Cholesterol,Presión arterial y colesterol,Pressão arterial e colesterol
Connective Tissue Injury,Lesión en el tejido conectivo,Lesão do Tecido Conjuntivo
"Joint, Tendon & Ligament Pain","Dolor articular, de tendones y ligamentos","Dor nas articulações, tendão e ligamento"
Lymphatic Congestion,Congestión linfática,Congestão linfática
Cooking,Para cocinar,Cozinha
Hypo or Hyperthyroid,Hipo o hipertiroidismo,Hipotireoidismo ou hipertireoidismo
Bladder & Kidney Infection/stones,Infecciones o cálculos de la vejiga y renales,Infecção da bexiga/pedra nos rins
Constipation & Water Retention,Estreñimiento y retención de líquidos,Constipação e retenção de água
Cataracts,Cataratas,Catarata
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Cuts & Wounds,Cortes y heridas,Cortes e feridas
"Bacteria, Viruses & Diarrhea","Bacterias, virus y diarrea","Bactéria, vírus e diarreia"
Cankers & Cold Sores,Aftas y herpes labial,Aftas
Athlete‰ÛªS Foot & Candida Issues,Problemas de pie de atleta y Candidiasis,Pé de atleta e problemas de cândida
Sore Throat & Tonsillitis,Dolor de garganta y amigdalitis,Dor de garganta e amigdalite
"Dandruff, Scabies, Lice","Caspa, sarna, piojos","Caspa, escabiose, piolhos"
Ear Infections,Infecciones de oído,Infecções de ouvido
Shock,Conmoción,Choque
"Acne, Pinkeye, Staph Infection & MRSA","Acné, conjuntivitis, infección por estafilococo y SARM","Acne, conjuntivite, infecção por estafilococos e MRSA"
"Bronchitis, Cold & Flu","Bronquitis, resfriado y gripe","Bronquite, resfriado e gripe"
"Hives, Rashes & Itchy Eyes","Urticaria, sarpullido y picazón en los ojos","Urticária, erupções cutâneas e coceira nos olhos"
Cavities & Gum Disease,Caries y enfermedad de las encías,Cáries e gengivite
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Muscle Spasms,Espasmos musculares,Espasmos musculares
Nervousness,Nerviosismo,Nervosismo
Sugar Addiction & Pancreas Support,Adicción al azúcar y refuerzo para el páncreas,Vício em açúcar e auxílio do pâncreas
Low Breast Milk Supply,Suministro escaso de leche materna,Baixa produção de leite materno
Detox & Electrolyte Balance,Desintoxicación y equilibrio electrolítico,Desintoxicação e equilíbrio de eletrólitos
Cholesterol & High Blood Pressure,Colesterol e hipertensión,Colesterol e pressão arterial alta
Respiratory Issues,Trastornos respiratorios,Problemas respiratórios
"Gas, Bloating & Indigestion","Flatulencia, hinchazón e indigestión","Gases, inchaço e indigestão"
Lack of Menstruation,Ausencia de menstruación,Ausência de menstruação
Colic,Cólico,Cólica
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Weight Loss & Obesity,Pérdida de peso y obesidad,Perda de peso e obesidade
Breast & Uterine Issues & Progesterone Balance,Problemas de senos y útero y equilibrio de progesterona,Problemas mamários e uterinos e equilíbrio de progesterona
Addictions & Sugar Cravings,Adicciones y antojos de comer azúcar,Vícios e desejos de açúcar
Oily Skin & Acne,Piel grasa y acné,Acne e pele oleosa
Detoxification & Cellulite,Desintoxicación y celulitis,Desintoxicação e celulite
Lymphatic & Kidney Toxicity,Toxicidad linfática y renal,Toxicidade linfática e renal
Adrenal Fatigue,Fatiga suprarrenal,Fadiga adrenal
Gallstones & Gallbladder Support,Cálculos biliares y refuerzo de la vesícula biliar,Pedra na vesícula e auxílio da vesícula biliar
Hangover & Jet Lag,Resaca y jet lag,Ressaca e jet lag
